mol,SMILES_RESULT,Chemspace_ID,Product_type,Price_for_1_mg_pack__USD,Cheapest_pack_size,Cheapest_pack_cost__USD,Supplier,$File,SMILES_QUERY
CC1=CC(NC(=O)C2=C(N=CN2)C(C)(C)C)=CC=C1O,CC1=CC(NC(=O)C2=C(N=CN2)C(C)(C)C)=CC=C1O,CSRS8030123562455734704574981895680,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=CC=C(O)C=C1NC(=O)C1=C(N=CN1)C(C)(C)C,CC1=CC=C(O)C=C1NC(=O)C1=C(N=CN1)C(C)(C)C,CSRS8030123562455734704574981895936,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=CC(NC(=O)C2=CNC(=N2)C(C)(C)C)=CC=C1O,CC1=CC(NC(=O)C2=CNC(=N2)C(C)(C)C)=CC=C1O,CSRS8030123562455734704574981896192,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=CC=C(NC(=O)C2=CNC(=N2)C(C)(C)C)C=C1O,CC1=CC=C(NC(=O)C2=CNC(=N2)C(C)(C)C)C=C1O,CSRS8030123562455734704574981896448,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=CC=C(O)C(NC(=O)C2=C(N=CN2)C(C)(C)C)=C1,CC1=CC=C(O)C(NC(=O)C2=C(N=CN2)C(C)(C)C)=C1,CSRS8030123562455734704574981896704,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=C(O)C(NC(=O)C2=C(N=CN2)C(C)(C)C)=CC=C1,CC1=C(O)C(NC(=O)C2=C(N=CN2)C(C)(C)C)=CC=C1,CSRS8030123562455734704574981896960,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=CC=C(O)C=C1NC(=O)C1=CNC(=N1)C(C)(C)C,CC1=CC=C(O)C=C1NC(=O)C1=CNC(=N1)C(C)(C)C,CSRS8030123562455734704574981897216,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=CC=C(NC(=O)C2=C(N=CN2)C(C)(C)C)C=C1O,CC1=CC=C(NC(=O)C2=C(N=CN2)C(C)(C)C)C=C1O,CSRS8030123562455734704574981897472,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=CC=C(NC(=O)C2=C(N=CN2)C(C)(C)C)C(O)=C1,CC1=CC=C(NC(=O)C2=C(N=CN2)C(C)(C)C)C(O)=C1,CSRS8030123562455734704574981897728,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=CC(O)=CC(NC(=O)C2=CNC(=N2)C(C)(C)C)=C1,CC1=CC(O)=CC(NC(=O)C2=CNC(=N2)C(C)(C)C)=C1,CSRS8030123562455734704574981897984,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CC1=CC(O)=CC=C1NC(=O)C1=C(N=CN1)C(C)(C)C,CC1=CC(O)=CC=C1NC(=O)C1=C(N=CN1)C(C)(C)C,CSRS8030123562455734704574981898240,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
