mol,SMILES_RESULT,Chemspace_ID,Product_type,Price_for_1_mg_pack__USD,Cheapest_pack_size,Cheapest_pack_cost__USD,Supplier,$File,SMILES_QUERY
CC1=C(CNC2=NC3=CC(C)=C(C)C=C3S2)SN=N1,CC1=C(CNC2=NC3=CC(C)=C(C)C=C3S2)SN=N1,CSRS8030145389233618528075160170752,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=C(CNC2=NC3=C(C)C=C(C)C=C3S2)SN=N1,CC1=C(CNC2=NC3=C(C)C=C(C)C=C3S2)SN=N1,CSRS8030145389233618528075160171008,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=NNC(SCC(=O)C2=CNC3=CC=C(F)C=C23)=N1,CC1=NNC(SCC(=O)C2=CNC3=CC=C(F)C=C23)=N1,CSRS8030145389233618528075160171264,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN1C=C(NC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)N=N1,CN1C=C(NC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)N=N1,CSRS8030145389233618528075160171520,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN1C=C(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)N=N1,CN1C=C(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)N=N1,CSRS8030145389233618528075160171776,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN(CC1=NNC(C)=N1)C(=O)C1=CNC2=C(C)C=C(Br)C=C2C1=O,CN(CC1=NNC(C)=N1)C(=O)C1=CNC2=C(C)C=C(Br)C=C2C1=O,CSRS8030145389233618528075160172032,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN(CC1=NNC(C)=N1)C(=O)C1=CNC2=C(C(Br)=CC=C2C)C1=O,CN(CC1=NNC(C)=N1)C(=O)C1=CNC2=C(C(Br)=CC=C2C)C1=O,CSRS8030145389233618528075160172288,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN1N=CN=C1NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O,CN1N=CN=C1NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O,CSRS8030145389233618528075160172544,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN1C=NC(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=N1,CN1C=NC(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=N1,CSRS8030145389233618528075160172800,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN1N=CN=C1NC(=O)C1=CNC2=C(C)C=C(C)C=C2C1=O,CN1N=CN=C1NC(=O)C1=CNC2=C(C)C=C(C)C=C2C1=O,CSRS8030145389233618528075160173056,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=NC(CC(=O)NC2=NC3=CC(C)=CC(C)=C3S2)=NN1,CC1=NC(CC(=O)NC2=NC3=CC(C)=CC(C)=C3S2)=NN1,CSRS8030145389233618528075160173312,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=NC(CC(=O)NC2=NC3=C(C)C=CC(C)=C3S2)=NN1,CC1=NC(CC(=O)NC2=NC3=C(C)C=CC(C)=C3S2)=NN1,CSRS8030145389233618528075160173568,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=NC(CC(=O)NC2=NC3=C(C)C(C)=CC=C3S2)=NN1,CC1=NC(CC(=O)NC2=NC3=C(C)C(C)=CC=C3S2)=NN1,CSRS8030145389233618528075160173824,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=C(\\C=N\\NC2=NC3=C(C)C=C(Cl)C=C3S2)N=NN1,CC1=C(\\C=N\\NC2=NC3=C(C)C=C(Cl)C=C3S2)N=NN1,CSRS8030145389233618528075160174080,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN1C=NN=C1NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O,CN1C=NN=C1NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O,CSRS8030145389233618528075160174336,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN1C=NN=C1NC(=O)C1=CNC2=C(C)C=C(C)C=C2C1=O,CN1C=NN=C1NC(=O)C1=CNC2=C(C)C=C(C)C=C2C1=O,CSRS8030145389233618528075160174592,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=NN=CN1NC(=O)C1=CNC2=C(C)C=C(C)C=C2C1=O,CC1=NN=CN1NC(=O)C1=CNC2=C(C)C=C(C)C=C2C1=O,CSRS8030145389233618528075160174848,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCN1N=C(C)N=C1NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O,CCN1N=C(C)N=C1NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O,CSRS8030145389233618528075160175104,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCN1N=C(C)N=C1NC(=O)C1=CNC2=C(C)C=C(C)C=C2C1=O,CCN1N=C(C)N=C1NC(=O)C1=CNC2=C(C)C=C(C)C=C2C1=O,CSRS8030145389233618528075160175360,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=NNC(SCC2=CC(=O)OC3=C(C)C(C)=CC=C23)=N1,CC1=NNC(SCC2=CC(=O)OC3=C(C)C(C)=CC=C23)=N1,CSRS8030145389233618528075160175616,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=NNC(SCC2=CC(=O)OC3=CC(C)=C(C)C=C23)=N1,CC1=NNC(SCC2=CC(=O)OC3=CC(C)=C(C)C=C23)=N1,CSRS8030145389233618528075160175872,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NC(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=NN1C,CCC1=NC(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=NN1C,CSRS8030145389233618528075160176128,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NN(C)C(NC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)=N1,CCC1=NN(C)C(NC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)=N1,CSRS8030145389233618528075160176384,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NN(C)C(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=N1,CCC1=NN(C)C(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=N1,CSRS8030145389233618528075160176640,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=C(C)C(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=NO1,CC1=C(C)C(NC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=NO1,CSRS8030145389233618528075160176896,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN(C)C1=NC(CNC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)=NN1,CN(C)C1=NC(CNC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)=NN1,CSRS8030145389233618528075160177152,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN(C)C1=NC(CNC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=NN1,CN(C)C1=NC(CNC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=NN1,CSRS8030145389233618528075160177408,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=C2C(NC=C2C(=O)CSC2=NC(=NN2)C(C)(C)C)=CC=C1,CC1=C2C(NC=C2C(=O)CSC2=NC(=NN2)C(C)(C)C)=CC=C1,CSRS8030145389233618528075160177664,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC(C)(C)C1=NNC(SCC2=CC(=O)C3=CC=CC=C3N2)=N1,CC(C)(C)C1=NNC(SCC2=CC(=O)C3=CC=CC=C3N2)=N1,CSRS8030145389233618528075160177920,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN(CC1=NNC(C)=N1)C(=O)C1=CNC2=C(C)C=C(F)C=C2C1=O,CN(CC1=NNC(C)=N1)C(=O)C1=CNC2=C(C)C=C(F)C=C2C1=O,CSRS8030145389233618528075160178176,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CN(CC1=NNC(C)=N1)C(=O)C1=CNC2=C(C)C(F)=CC=C2C1=O,CN(CC1=NNC(C)=N1)C(=O)C1=CNC2=C(C)C(F)=CC=C2C1=O,CSRS8030145389233618528075160178432,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=CC(C)=C2NC=C(C(=O)NCC3=NNC(CO)=N3)C(=O)C2=C1,CC1=CC(C)=C2NC=C(C(=O)NCC3=NNC(CO)=N3)C(=O)C2=C1,CSRS8030145389233618528075160178688,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=CC=C2C(=O)C(=CNC2=C1C)C(=O)NCC1=NNC(CO)=N1,CC1=CC=C2C(=O)C(=CNC2=C1C)C(=O)NCC1=NNC(CO)=N1,CSRS8030145389233618528075160178944,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NNC(CNC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=N1,CCC1=NNC(CNC(=O)C2=CNC3=C(C)C=C(C)C=C3C2=O)=N1,CSRS8030145389233618528075160179200,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NNC(CNC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)=N1,CCC1=NNC(CNC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)=N1,CSRS8030145389233618528075160179456,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=C(CNC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)NN=N1,CCC1=C(CNC(=O)C2=CNC3=C(C)C(C)=CC=C3C2=O)NN=N1,CSRS8030145389233618528075160179712,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=NC(CCOC(=O)C2=C(C)C3=C(C)C=C(C)C=C3N2)=NN1,CC1=NC(CCOC(=O)C2=C(C)C3=C(C)C=C(C)C=C3N2)=NN1,CSRS8030145389233618528075160179968,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC1=NC(=NN1)C(CO)NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O,CC1=NC(=NN1)C(CO)NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O,CSRS8030145389233618528075160180224,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC(NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O)C1=NNC(C)=N1,CCC(NC(=O)C1=CNC2=C(C)C(C)=CC=C2C1=O)C1=NNC(C)=N1,CSRS8030145389233618528075160180480,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CC(OC(=O)C1=C(C)C2=C(C)C=C(C)C=C2N1)C1=NNC(C)=N1,CC(OC(=O)C1=C(C)C2=C(C)C=C(C)C=C2N1)C1=NNC(C)=N1,CSRS8030145389233618528075160180736,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
OCC1=NNC(SCC(=O)C2=CC3=CC(Cl)=CC=C3N2)=N1,OCC1=NNC(SCC(=O)C2=CC3=CC(Cl)=CC=C3N2)=N1,CSRS8030145389233618528075160180992,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
COCC1=NNC(SCC(=O)C2=CNC3=CC=CC(C)=C23)=N1,COCC1=NNC(SCC(=O)C2=CNC3=CC=CC(C)=C23)=N1,CSRS8030145389233618528075160181248,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
OCC1=NNC(SCC(=O)C2=CNC3=C2C=CC=C3Br)=N1,OCC1=NNC(SCC(=O)C2=CNC3=C2C=CC=C3Br)=N1,CSRS8030145389233618528075160181504,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
OCC1=NNC(SCC(=O)C2=CC3=CC(Br)=CC=C3N2)=N1,OCC1=NNC(SCC(=O)C2=CC3=CC(Br)=CC=C3N2)=N1,CSRS8030145389233618528075160181760,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
OCC1=NNC(SCC(=O)C2=CNC3=C2C(Br)=CC=C3)=N1,OCC1=NNC(SCC(=O)C2=CNC3=C2C(Br)=CC=C3)=N1,CSRS8030145389233618528075160182016,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
OCC1=NNC(SCC(=O)C2=CNC3=CC(Br)=CC=C23)=N1,OCC1=NNC(SCC(=O)C2=CNC3=CC(Br)=CC=C23)=N1,CSRS8030145389233618528075160182272,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
OCC1=NNC(SCC(=O)C2=CNC3=CC=C(Br)C=C23)=N1,OCC1=NNC(SCC(=O)C2=CNC3=CC=C(Br)C=C23)=N1,CSRS8030145389233618528075160182528,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NNC(SCC(=O)C2=CC3=CC(Cl)=CC=C3N2)=N1,CCC1=NNC(SCC(=O)C2=CC3=CC(Cl)=CC=C3N2)=N1,CSRS8030145389233618528075160182784,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCCC1=NNC(SCC(=O)C2=CNC3=CC=CC(C)=C23)=N1,CCCC1=NNC(SCC(=O)C2=CNC3=CC=CC(C)=C23)=N1,CSRS8030145389233618528075160183040,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NNC(SCC(=O)C2=CNC3=CC(Br)=CC=C23)=N1,CCC1=NNC(SCC(=O)C2=CNC3=CC(Br)=CC=C23)=N1,CSRS8030145389233618528075160183296,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NNC(SCC(=O)C2=CC3=CC(Br)=CC=C3N2)=N1,CCC1=NNC(SCC(=O)C2=CC3=CC(Br)=CC=C3N2)=N1,CSRS8030145389233618528075160183552,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NNC(SCC(=O)C2=CNC3=C2C(Br)=CC=C3)=N1,CCC1=NNC(SCC(=O)C2=CNC3=C2C(Br)=CC=C3)=N1,CSRS8030145389233618528075160183808,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NNC(SCC(=O)C2=CNC3=CC=C(Br)C=C23)=N1,CCC1=NNC(SCC(=O)C2=CNC3=CC=C(Br)C=C23)=N1,CSRS8030145389233618528075160184064,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
CCC1=NNC(SCC(=O)C2=CNC3=C2C=CC=C3Br)=N1,CCC1=NNC(SCC(=O)C2=CNC3=C2C=CC=C3Br)=N1,CSRS8030145389233618528075160184320,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
COCC1=NNC(SCC2=CC(=O)C3=CC=CC=C3N2)=N1,COCC1=NNC(SCC2=CC(=O)C3=CC=CC=C3N2)=N1,CSRS8030145389233618528075160184576,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17085,S(CC=1Nc2c(c(C)cc(C)c2)C(=O)C=1)c1nc(C)[nH]n1
OC1=CC=CC=C1NC(=O)C1=NNC2=CC=CC=C12,OC1=CC=CC=C1NC(=O)C1=NNC2=CC=CC=C12,CSRS8030124247198874720673537885952,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC(NC(=O)C2=NNC3=CC=CC=C23)=CC=C1,OC1=CC(NC(=O)C2=NNC3=CC=CC=C23)=CC=C1,CSRS8030124247198874720673537886208,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=C(NC(=O)C2=NNC3=CC=CC=C23)C=C1,OC1=CC=C(NC(=O)C2=NNC3=CC=CC=C23)C=C1,CSRS8030124247198874720673537886464,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=CC=C1NC(=O)C1=NC2=CC=CC=C2N1,OC1=CC=CC=C1NC(=O)C1=NC2=CC=CC=C2N1,CSRS8030124247198874720673537886720,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC(NC(=O)C2=NC3=CC=CC=C3N2)=CC=C1,OC1=CC(NC(=O)C2=NC3=CC=CC=C3N2)=CC=C1,CSRS8030124247198874720673537886976,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=C(NC(=O)C2=NC3=CC=CC=C3N2)C=C1,OC1=CC=C(NC(=O)C2=NC3=CC=CC=C3N2)C=C1,CSRS8030124247198874720673537887232,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=CC=C1NC(=O)C1=NNC2=CC=C(F)C=C12,OC1=CC=CC=C1NC(=O)C1=NNC2=CC=C(F)C=C12,CSRS8030124247198874720673537887488,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC(NC(=O)C2=NNC3=C2C(F)=CC=C3)=CC=C1,OC1=CC(NC(=O)C2=NNC3=C2C(F)=CC=C3)=CC=C1,CSRS8030124247198874720673537887744,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=CC=C1NC(=O)C1=NNC2=C1C(F)=CC=C2,OC1=CC=CC=C1NC(=O)C1=NNC2=C1C(F)=CC=C2,CSRS8030124247198874720673537888000,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=C(NC(=O)C2=NNC3=C2C(F)=CC=C3)C=C1,OC1=CC=C(NC(=O)C2=NNC3=C2C(F)=CC=C3)C=C1,CSRS8030124247198874720673537888256,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC(NC(=O)C2=NNC3=CC=C(F)C=C23)=CC=C1,OC1=CC(NC(=O)C2=NNC3=CC=C(F)C=C23)=CC=C1,CSRS8030124247198874720673537888512,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=C(NC(=O)C2=NNC3=CC=C(F)C=C23)C=C1,OC1=CC=C(NC(=O)C2=NNC3=CC=C(F)C=C23)C=C1,CSRS8030124247198874720673537888768,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC(NC(=O)C2=NNC3=C2C=CC=C3F)=CC=C1,OC1=CC(NC(=O)C2=NNC3=C2C=CC=C3F)=CC=C1,CSRS8030124247198874720673537889024,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC(NC(=O)C2=NNC3=CC(F)=CC=C23)=CC=C1,OC1=CC(NC(=O)C2=NNC3=CC(F)=CC=C23)=CC=C1,CSRS8030124247198874720673537889280,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=CC=C1NC(=O)C1=NNC2=C1C=CC=C2F,OC1=CC=CC=C1NC(=O)C1=NNC2=C1C=CC=C2F,CSRS8030124247198874720673537889536,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=C(NC(=O)C2=NNC3=C2C=CC=C3F)C=C1,OC1=CC=C(NC(=O)C2=NNC3=C2C=CC=C3F)C=C1,CSRS8030124247198874720673537889792,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=C(NC(=O)C2=NNC3=CC(F)=CC=C23)C=C1,OC1=CC=C(NC(=O)C2=NNC3=CC(F)=CC=C23)C=C1,CSRS8030124247198874720673537890048,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=CC=C1NC(=O)C1=NNC2=CC(F)=CC=C12,OC1=CC=CC=C1NC(=O)C1=NNC2=CC(F)=CC=C12,CSRS8030124247198874720673537890304,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC(NC(=O)C2=NC3=CC(F)=CC=C3N2)=CC=C1,OC1=CC(NC(=O)C2=NC3=CC(F)=CC=C3N2)=CC=C1,CSRS8030124247198874720673537890560,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=CC=C1NC(=O)C1=NC2=CC(F)=CC=C2N1,OC1=CC=CC=C1NC(=O)C1=NC2=CC(F)=CC=C2N1,CSRS8030124247198874720673537890816,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
OC1=CC=C(NC(=O)C2=NC3=CC(F)=CC=C3N2)C=C1,OC1=CC=C(NC(=O)C2=NC3=CC(F)=CC=C3N2)C=C1,CSRS8030124247198874720673537891072,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17116,O=C1NC(Nc2cc(O)ccc2)=Nc2c1cccc2
